Step,Training_Loss,Validation_Loss,Entropy,Num_Tokens,Mean_Token_Accuracy
10,2.309700,1.825931,1.879011,16839.000000,0.649866
20,1.550200,1.141581,1.297762,34302.000000,0.749938
30,0.907000,0.729182,0.690181,51392.000000,0.852753
40,0.700200,0.601118,0.582386,68426.000000,0.864825
50,0.594100,0.522780,0.503999,85229.000000,0.879807
60,0.442800,0.486384,0.491243,102268.000000,0.885225
70,0.425300,0.450879,0.445643,119792.000000,0.889551
80,0.365200,0.423387,0.441419,136296.000000,0.894013
90,0.474500,0.416119,0.417088,153680.000000,0.893842
100,0.440500,0.404527,0.400456,171738.000000,0.896556
110,0.375600,0.399588,0.370283,188975.000000,0.897510
120,0.534200,0.393175,0.412859,207291.000000,0.898431
130,0.365500,0.390961,0.379299,225260.000000,0.899154
140,0.506600,0.382752,0.394784,242745.000000,0.900917
150,0.448000,0.380768,0.394044,262079.000000,0.901097
160,0.451800,0.376171,0.371416,280456.000000,0.901436
170,0.495400,0.371859,0.375751,299183.000000,0.901188
180,0.398500,0.371210,0.366893,316929.000000,0.902607
190,0.391900,0.370027,0.353518,333756.000000,0.902873
200,0.427900,0.367330,0.355787,352649.000000,0.902451
210,0.334700,0.364309,0.352367,369962.000000,0.903468
220,0.361900,0.363751,0.352328,386522.000000,0.903539
230,0.397600,0.364031,0.345987,404617.000000,0.904222
240,0.355900,0.361650,0.350395,419850.000000,0.903544
250,0.366400,0.357725,0.349491,437241.000000,0.905376
260,0.475800,0.357577,0.358310,456028.000000,0.904626
270,0.339300,0.354447,0.343146,473185.000000,0.905440
280,0.472100,0.352975,0.353257,492296.000000,0.905922
290,0.416500,0.353407,0.349559,511314.000000,0.905864
300,0.322400,0.350882,0.342747,527901.000000,0.905517
310,0.317700,0.350721,0.334475,545300.000000,0.906083
320,0.272900,0.350289,0.333648,561577.000000,0.906348
330,0.373800,0.348756,0.342972,580685.000000,0.906303
340,0.277400,0.350016,0.337207,597557.000000,0.906339
350,0.393400,0.347312,0.342406,614612.000000,0.906698
360,0.461800,0.346236,0.326716,634121.000000,0.906749
370,0.299000,0.345204,0.346521,650215.000000,0.906615
380,0.351300,0.348515,0.328303,670132.000000,0.906333
390,0.270300,0.343818,0.348334,686476.000000,0.906946
400,0.344200,0.342816,0.322734,703805.000000,0.907697
410,0.375300,0.341060,0.337334,722543.000000,0.908071
420,0.536500,0.340613,0.337374,744656.000000,0.908192
430,0.527400,0.340650,0.329503,764003.000000,0.908106
440,0.256600,0.342021,0.322248,781985.000000,0.907935
450,0.277100,0.339655,0.325273,798034.000000,0.908104
460,0.288100,0.340976,0.317478,815853.000000,0.908178
470,0.302800,0.342503,0.320725,831756.000000,0.908006
480,0.298800,0.342741,0.332931,848694.000000,0.907016
490,0.365800,0.337832,0.328141,865818.000000,0.908204
500,0.313500,0.336421,0.333089,882630.000000,0.908700
510,0.341300,0.339736,0.325628,900252.000000,0.908345
520,0.349900,0.336746,0.318570,917878.000000,0.908279
530,0.399900,0.335229,0.320380,935598.000000,0.908964
540,0.313500,0.333966,0.319578,953612.000000,0.909812
550,0.359500,0.333425,0.314610,971392.000000,0.910034
560,0.315600,0.331821,0.323042,988212.000000,0.909578
570,0.367700,0.332126,0.306405,1007464.000000,0.909210
580,0.317000,0.330142,0.314593,1026925.000000,0.909644
590,0.332600,0.328913,0.318979,1043300.000000,0.909639
600,0.296100,0.328120,0.313014,1060170.000000,0.909863
610,0.296100,0.328899,0.313561,1077309.000000,0.910494
620,0.368500,0.328561,0.321010,1094829.000000,0.910016
630,0.291000,0.330645,0.300495,1113517.000000,0.910000
640,0.406500,0.326795,0.328320,1130770.000000,0.910368
650,0.309600,0.325835,0.306463,1147874.000000,0.910571
660,0.322100,0.326093,0.316897,1165195.000000,0.910188
670,0.345400,0.327589,0.308500,1181846.000000,0.910164
680,0.325500,0.326637,0.313339,1199251.000000,0.910746
690,0.355200,0.325790,0.317722,1215920.000000,0.910689
700,0.291000,0.325079,0.311222,1232964.000000,0.910674
710,0.322900,0.326336,0.304969,1251068.000000,0.910535
720,0.294100,0.324038,0.313398,1266914.000000,0.911096
730,0.291100,0.322755,0.312135,1283834.000000,0.911462
740,0.283700,0.323355,0.314074,1301021.000000,0.911023
750,0.307600,0.322984,0.307463,1319818.000000,0.911733
